Tm,Season,G,W,L
NYK,1982-83,82,44,38
PHI,1982-83,82,65,17
PHO,1982-83,82,53,29
SDC,1982-83,82,25,57
HOU,1982-83,82,14,68
SEA,1982-83,82,48,34
SAS,1982-83,82,53,29
UTA,1982-83,82,30,52
ATL,1981-82,82,42,40
SDC,1981-82,82,17,65
SEA,1981-82,82,52,30
BOS,1981-82,82,63,19
WSB,1981-82,82,43,39
DEN,1981-82,82,46,36
GSW,1981-82,82,45,37
DET,1981-82,82,39,43
MIL,1981-82,82,55,27
CHI,1981-82,82,34,48
IND,1981-82,82,35,47
KCK,1981-82,82,30,52
SAS,1981-82,82,48,34
HOU,1981-82,82,46,36
LAL,1981-82,82,57,25
NJN,1981-82,82,44,38
NYK,1981-82,82,33,49
CLE,1981-82,82,15,67
PHI,1981-82,82,58,24
PHO,1981-82,82,46,36
POR,1981-82,82,42,40
DAL,1981-82,82,28,54
UTA,1981-82,82,25,57
ATL,1980-81,82,31,51
CHI,1980-81,82,45,37
DAL,1980-81,82,15,67
KCK,1980-81,82,40,42
NYK,1980-81,82,50,32
BOS,1980-81,82,62,20
CLE,1980-81,82,28,54
DEN,1980-81,82,37,45
SAS,1980-81,82,52,30
DET,1980-81,82,21,61
WSB,1980-81,82,39,43
IND,1980-81,82,44,38
NJN,1980-81,82,24,58
MIL,1980-81,82,60,22
PHI,1980-81,82,62,20
GSW,1980-81,82,39,43
PHO,1980-81,82,57,25
HOU,1980-81,82,40,42
SDC,1980-81,82,36,46
LAL,1980-81,82,54,28
SEA,1980-81,82,34,48
POR,1980-81,82,45,37
UTA,1980-81,82,28,54
